Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2021-2022,Crystal Palace,Brentford,0,0,"['Vicente Guaita', 'Joel Ward', 'Tyrick Mitchell', 'Marc Guéhi', 'Cheikhou Kouyaté', 'Wilfried Zaha', 'Jeffrey Schlupp', 'Joachim Andersen', 'James McArthur', 'Christian Benteke', 'Conor Gallagher']","['Jack Butland', 'Remi Matthews', 'James Tomkins', 'Jordan Ayew', 'Jean-Philippe Mateta', 'Martin Kelly', 'Jaïro Riedewald', 'Jesuran Rak Sakyi']","['David Raya', 'Rico Henry', 'Ethan Pinnock', 'Christian Nørgaard', 'Sergi Canós', 'Frank Onyeka', 'Ivan Toney', 'Pontus Jansson', 'Bryan Mbeumo', 'Kristoffer Ajer', 'Vitaly Janelt']","['Álvaro Fernández', 'Charlie Goode', 'Marcus Forss', 'Yoane Wissa', 'Saman Ghoddos', 'Halil Dervişoğlu', 'Mads Bidstrup', 'Mads Bech Sørensen', 'Mads Roerslev']",[],[],"[[68, 'Jeffrey Schlupp', 'Jordan Ayew']]","[[70, 'Frank Onyeka', 'Saman Ghoddos'], [77, 'Bryan Mbeumo', 'Yoane Wissa'], [87, 'Vitaly Janelt', 'Mads Bidstrup']]",[],[]
2021-2022,Brighton & Hove Albion,Watford,2,0,"['Robert Sánchez', 'Adam Webster', 'Lewis Dunk', 'Yves Bissouma', 'Neal Maupay', 'Alexis Mac Allister', 'Leandro Trossard', 'Pascal Groß', 'Adam Lallana', 'Solly March', 'Shane Duffy']","['Jason Steele', 'Aaron Connolly', 'Enock Mwepu', 'Jakub Moder', 'Steven Alzate', 'Andi Zeqiri', 'Moisés Caicedo', 'Haydon Roberts', 'Taylor Richards']","['Daniel Bachmann', 'Oghenekaro Etebo', 'William Troost-Ekong', 'Imran Louza', 'Tom Cleverley', 'Adam Masina', 'Ken Sema', 'Craig Cathcart', 'Ismaila Sarr', 'Emmanuel Dennis', 'Christian Kabasele']","['Ben Foster', 'Jeremy Ngakia', 'Danny Rose', 'Joshua King', 'Troy Deeney', 'Ashley Fletcher', 'Cucho', 'Francisco Sierralta', 'Kwadwo Baah']","[10, 41]",[],"[[46, 'Neal Maupay', 'Aaron Connolly'], [72, 'Leandro Trossard', 'Enock Mwepu'], [80, 'Adam Lallana', 'Jakub Moder']]","[[46, 'Imran Louza', 'Cucho'], [65, 'Craig Cathcart', 'Joshua King'], [78, 'Ken Sema', 'Troy Deeney']]",[],[]
2021-2022,Wolverhampton Wanderers,Tottenham Hotspur,0,1,"['José Sá', 'Fernando Marçal', 'Rúben Neves', 'Raúl Jiménez', 'Francisco Trincão', 'Conor Coady', 'Nélson Semedo', 'Max Kilman', 'Romain Saïss', 'João Moutinho', 'Adama Traoré']","['John Ruddy', 'Ki-Jana Hoever', 'Rayan Aït Nouri', 'Fábio Silva', 'Morgan Gibbs-White', 'Leander Dendoncker', 'Luke Cundle', 'Christian Marques', 'Chem Campbell']","['Hugo Lloris', 'Sergio Reguilón', 'Pierre Højbjerg', 'Davinson Sánchez', 'Son Heung-min', 'Eric Dier', 'Dele Alli', 'Steven Bergwijn', 'Japhet Tanganga', 'Lucas Moura', 'Oliver Skipp']","['Pierluigi Gollini', 'Matt Doherty', 'Harry Winks', 'Harry Kane', 'Bryan', 'Giovani Lo Celso', 'Ryan Sessegnon', 'Ben Davies', 'Dane Scarlett']",[],[9],"[[72, 'João Moutinho', 'Leander Dendoncker'], [84, 'Francisco Trincão', 'Rayan Aït Nouri'], [84, 'Romain Saïss', 'Fábio Silva']]","[[67, 'Lucas Moura', 'Giovani Lo Celso'], [72, 'Son Heung-min', 'Harry Kane'], [90, 'Steven Bergwijn', 'Harry Winks']]",[],[]
Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2021-2022,Southampton,Manchester United,1,1,"['Alex McCarthy', 'Jack Stephens', 'Oriol Romeu', 'James Ward-Prowse', 'Adam Armstrong', 'Che Adams', 'Romain Perraud', 'Moussa Djenepo', 'Valentino Livramento', 'Mohammed Salisu', 'Theo Walcott']","['Fraser Forster', 'Kyle Walker-Peters', 'Shane Long', 'Nathan Redmond', 'Nathan Tella', 'Mohamed Elyounoussi', 'Ibrahima Diallo', 'Jan Bednarek', 'Yan Valery']","['David de Gea', 'Victor Lindelöf', 'Harry Maguire', 'Paul Pogba', 'Anthony Martial', 'Mason Greenwood', 'Fred', 'Bruno Fernandes', 'Luke Shaw', 'Aaron Wan-Bissaka', 'Nemanja Matić']","['Tom Heaton', 'Juan Mata', 'Jesse Lingard', 'Raphaël Varane', 'Diogo Dalot', 'Daniel James', 'Jadon Sancho', 'Donny van de Beek', 'Scott McTominay']",[],[55],"[[46, 'Theo Walcott', 'Jan Bednarek'], [70, 'Moussa Djenepo', 'Ibrahima Diallo'], [79, 'Romain Perraud', 'Kyle Walker-Peters']]","[[59, 'Anthony Martial', 'Jadon Sancho'], [76, 'Fred', 'Scott McTominay'], [86, 'Nemanja Matić', 'Jesse Lingard']]",[],[]
2021-2022,Arsenal,Chelsea,0,2,"['Bernd Leno', 'Kieran Tierney', 'Bukayo Saka', 'Emile Smith Rowe', 'Rob Holding', 'Cédric Soares', 'Nicolas Pépé', 'Pablo Marí', 'Albert Sambi Lokonga', 'Granit Xhaka', 'Martinelli']","['Aaron Ramsdale', 'Pierre-Emerick Aubameyang', 'Ainsley Maitland-Niles', 'Nuno Tavares', 'Calum Chambers', 'Reiss Nelson', 'Mohamed Elneny', 'Folarin Balogun', 'Sead Kolašinac']","['Edouard Mendy', 'Antonio Rüdiger', 'Marcos Alonso', 'Andreas Christensen', 'Jorginho', 'Mateo Kovačić', 'Romelu Lukaku', 'Mason Mount', 'Reece James', 'César Azpilicueta', 'Kai Havertz']","['Kepa Arrizabalaga', 'Thiago Silva', ""N'Golo Kanté"", 'Timo Werner', 'Trevoh Chalobah', 'Kurt Zouma', 'Callum Hudson-Odoi', 'Ben Chilwell', 'Hakim Ziyech']",[],"[15, 35]","[[61, 'Bukayo Saka', 'Pierre-Emerick Aubameyang'], [66, 'Kieran Tierney', 'Nuno Tavares'], [79, 'Martinelli', 'Folarin Balogun']]","[[72, 'Mateo Kovačić', ""N'Golo Kanté""], [82, 'Mason Mount', 'Hakim Ziyech'], [90, 'Kai Havertz', 'Timo Werner']]",[],[]
2021-2022,West Ham United,Leicester City,4,1,"['Łukasz Fabiański', 'Aaron Cresswell', 'Vladimír Coufal', 'Pablo Fornals', 'Michail Antonio', 'Craig Dawson', 'Jarrod Bowen', 'Angelo Ogbonna', 'Saïd Benrahma', 'Tomáš Souček', 'Declan Rice']","['Alphonse Areola', 'Andriy Yarmolenko', 'Manuel Lanzini', 'Mark Noble', 'Issa Diop', 'Ryan Fredericks', 'Ben Johnson', 'Conor Coventry', 'Jamal Baptiste']","['Kasper Schmeichel', 'Çağlar Söyüncü', 'Harvey Barnes', 'Youri Tielemans', 'Jamie Vardy', 'James Maddison', 'Ayoze Pérez', 'Daniel Amartey', 'Ricardo Pereira', 'Wilfred Ndidi', 'Luke Thomas']","['Danny Ward', 'Marc Albrighton', 'Kelechi Iheanacho', 'Hamza Choudhury', 'Kiernan Dewsbury-Hall', 'Dennis Praet', 'Timothy Castagne', 'Patson Daka', 'Boubakary Soumaré']","[26, 56, 80, 84]",[69],"[[88, 'Saïd Benrahma', 'Mark Noble'], [89, 'Michail Antonio', 'Andriy Yarmolenko']]","[[64, 'Harvey Barnes', 'Patson Daka'], [81, 'Jamie Vardy', 'Kelechi Iheanacho'], [81, 'James Maddison', 'Boubakary Soumaré']]",[],"[[40, 'Ayoze Pérez']]"
2021-2022,Manchester City,Arsenal,5,0,"['Ederson', 'Kyle Walker', 'Rúben Dias', 'İlkay Gündoğan', 'Gabriel Jesus', 'Jack Grealish', 'Aymeric Laporte', 'Rodri', 'Bernardo Silva', 'Ferrán Torres', 'João Cancelo']","['Zack Steffen', 'John Stones', 'Nathan Aké', 'Raheem Sterling', 'Oleksandr Zinchenko', 'Fernandinho', 'Riyad Mahrez', 'Thomas Doyle', 'Cole Palmer']","['Bernd Leno', 'Kieran Tierney', 'Bukayo Saka', 'Martin Ødegaard', 'Emile Smith Rowe', 'Pierre-Emerick Aubameyang', 'Rob Holding', 'Cédric Soares', 'Calum Chambers', 'Sead Kolašinac', 'Granit Xhaka']","['Aaron Ramsdale', 'Arthur Okonkwo', 'Alexandre Lacazette', 'Ainsley Maitland-Niles', 'Nuno Tavares', 'Pablo Marí', 'Albert Sambi Lokonga', 'Mohamed Elneny', 'Martinelli']","[7, 12, 43, 53, 84]",[],"[[46, 'Kyle Walker', 'Oleksandr Zinchenko'], [58, 'Bernardo Silva', 'Raheem Sterling'], [61, 'Gabriel Jesus', 'Riyad Mahrez']]","[[46, 'Bukayo Saka', 'Mohamed Elneny'], [59, 'Pierre-Emerick Aubameyang', 'Alexandre Lacazette'], [71, 'Martin Ødegaard', 'Ainsley Maitland-Niles']]",[],"[[35, 'Granit Xhaka']]"
2021-2022,Norwich City,Leicester City,1,2,"['Tim Krul', 'Max Aarons', 'Ben Gibson', 'Grant Hanley', 'Billy Gilmour', 'Todd Cantwell', 'Milot Rashica', 'Pierre Lees-Melou', 'Brandon Williams', 'Teemu Pukki', 'Kenny McLean']","['Angus Gunn', 'Christoph Zimmermann', 'Lukas Rupp', 'Kieran Dowell', 'Jakob Sørensen', 'Josh Sargent', 'Dimitris Giannoulis', 'Adam Idah', 'Andrew Omobamidele']","['Kasper Schmeichel', 'Çağlar Söyüncü', 'Harvey Barnes', 'Youri Tielemans', 'Jamie Vardy', 'James Maddison', 'Marc Albrighton', 'Daniel Amartey', 'Ricardo Pereira', 'Wilfred Ndidi', 'Luke Thomas']","['Danny Ward', 'Eldin Jakupović', 'Kelechi Iheanacho', 'Hamza Choudhury', 'Kiernan Dewsbury-Hall', 'Dennis Praet', 'Timothy Castagne', 'Patson Daka', 'Boubakary Soumaré']",[44],"[8, 76]","[[73, 'Teemu Pukki', 'Josh Sargent'], [73, 'Pierre Lees-Melou', 'Lukas Rupp'], [79, 'Billy Gilmour', 'Adam Idah']]","[[11, 'Ricardo Pereira', 'Timothy Castagne'], [67, 'Harvey Barnes', 'Kelechi Iheanacho'], [86, 'James Maddison', 'Kiernan Dewsbury-Hall']]",[],[]
Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2021-2022,West Ham United,Crystal Palace,2,2,"['Łukasz Fabiański', 'Aaron Cresswell', 'Vladimír Coufal', 'Pablo Fornals', 'Michail Antonio', 'Craig Dawson', 'Jarrod Bowen', 'Angelo Ogbonna', 'Saïd Benrahma', 'Tomáš Souček', 'Declan Rice']","['Alphonse Areola', 'Andriy Yarmolenko', 'Manuel Lanzini', 'Mark Noble', 'Issa Diop', 'Ryan Fredericks', 'Ben Johnson', 'Conor Coventry', 'Jamal Baptiste']","['Vicente Guaita', 'Joel Ward', 'Tyrick Mitchell', 'Marc Guéhi', 'Cheikhou Kouyaté', 'Jordan Ayew', 'Wilfried Zaha', 'Joachim Andersen', 'James McArthur', 'Christian Benteke', 'Conor Gallagher']","['Jack Butland', 'James Tomkins', 'Jean-Philippe Mateta', 'Jeffrey Schlupp', 'Martin Kelly', 'Reece Hannam', 'Jaïro Riedewald', 'Robert Street', 'Jesuran Rak Sakyi']","[39, 68]","[58, 70]","[[79, 'Jarrod Bowen', 'Manuel Lanzini'], [87, 'Pablo Fornals', 'Andriy Yarmolenko']]","[[88, 'James McArthur', 'Jeffrey Schlupp']]",[],[]
2021-2022,Aston Villa,Brentford,1,1,"['Emiliano Martínez', 'Matty Cash', 'Matt Targett', 'Ezri Konsa', 'Douglas Luiz', 'Emi Buendía', 'Axel Tuanzebe', 'Ashley Young', 'Danny Ings', 'Anwar El Ghazi', 'Carney Chukwuemeka']","['Jed Steer', 'Ollie Watkins', 'Conor Hourihane', 'Marvelous Nakamba', 'Frederic Guilbert', 'Kortney Hause', 'Jaden Philogene Bidace', 'Cameron Archer', 'Aaron Ramsey']","['David Raya', 'Rico Henry', 'Ethan Pinnock', 'Christian Nørgaard', 'Sergi Canós', 'Saman Ghoddos', 'Ivan Toney', 'Pontus Jansson', 'Bryan Mbeumo', 'Kristoffer Ajer', 'Vitaly Janelt']","['Álvaro Fernández', 'Dominic Thompson', 'Mathias Jensen', 'Marcus Forss', 'Yoane Wissa', 'Halil Dervişoğlu', 'Shandon Baptiste', 'Mads Bidstrup', 'Finley Stevens']",[13],[7],"[[63, 'Carney Chukwuemeka', 'Marvelous Nakamba'], [79, 'Ashley Young', 'Ollie Watkins'], [89, 'Ezri Konsa', 'Kortney Hause']]","[[66, 'Saman Ghoddos', 'Yoane Wissa'], [80, 'Bryan Mbeumo', 'Mathias Jensen'], [89, 'Vitaly Janelt', 'Shandon Baptiste']]",[],[]
2021-2022,Newcastle United,Southampton,2,2,"['Freddie Woodman', 'Fabian Schär', 'Jamaal Lascelles', 'Callum Wilson', 'Allan Saint-Maximin', 'Matt Ritchie', 'Federico Fernández', 'Jacob Murphy', 'Miguel Almirón', 'Joe Willock', 'Sean Longstaff']","['Mark Gillespie', 'Ciaran Clark', 'Joelinton', 'Jamal Lewis', 'Jeff Hendrick', 'Emil Krafth', 'Javier Manquillo', 'Ryan Fraser', 'Dwight Gayle']","['Alex McCarthy', 'Kyle Walker-Peters', 'Jack Stephens', 'Oriol Romeu', 'James Ward-Prowse', 'Adam Armstrong', 'Che Adams', 'Moussa Djenepo', 'Valentino Livramento', 'Mohammed Salisu', 'Mohamed Elyounoussi']","['Fraser Forster', 'Nathan Redmond', 'Romain Perraud', 'Armando Broja', 'Nathan Tella', 'Ibrahima Diallo', 'Theo Walcott', 'Jan Bednarek', 'Yan Valery']","[55, 90]","[74, 90]","[[69, 'Callum Wilson', 'Joelinton'], [84, 'Joe Willock', 'Ryan Fraser']]","[[58, 'Moussa Djenepo', 'Nathan Redmond'], [71, 'Che Adams', 'Armando Broja'], [88, 'Oriol Romeu', 'Ibrahima Diallo']]",[],[]
2021-2022,Brighton & Hove Albion,Everton,0,2,"['Robert Sánchez', 'Adam Webster', 'Lewis Dunk', 'Yves Bissouma', 'Neal Maupay', 'Alexis Mac Allister', 'Leandro Trossard', 'Pascal Groß', 'Adam Lallana', 'Jakub Moder', 'Shane Duffy']","['Jason Steele', 'Aaron Connolly', 'Enock Mwepu', 'Steven Alzate', 'Danny Welbeck', 'Andi Zeqiri', 'Haydon Roberts', 'Taylor Richards', 'Joël Veltman']","['Jordan Pickford', 'Mason Holgate', 'Michael Keane', 'Allan', 'Richarlison', 'Dominic Calvert-Lewin', 'Demarai Gray', 'Lucas Digne', 'Andros Townsend', 'Abdoulaye Doucouré', 'Séamus Coleman']","['Asmir Begović', 'Andy Lonergan', 'Jonjoe Kenny', 'Alex Iwobi', 'Niels Nkounkou', 'André Gomes', 'Anthony Gordon', 'Jarrad Branthwaite']",[],"[41, 58]","[[46, 'Alexis Mac Allister', 'Joël Veltman'], [59, 'Adam Lallana', 'Danny Welbeck'], [73, 'Jakub Moder', 'Taylor Richards']]","[[70, 'Dominic Calvert-Lewin', 'Alex Iwobi'], [81, 'Demarai Gray', 'André Gomes']]",[],[]
2021-2022,Liverpool,Chelsea,1,1,"['Alisson', 'Fabinho', 'Virgil van Dijk', 'Roberto Firmino', 'Sadio Mané', 'Mohamed Salah', 'Jordan Henderson', 'Andrew Robertson', 'Joël Matip', 'Trent Alexander-Arnold', 'Harvey Elliott']","['Caoimhín Kelleher', 'Ibrahima Konaté', 'Thiago Alcántara', 'Naby Keïta', 'Joe Gomez', 'Alex Oxlade-Chamberlain', 'Takumi Minamino', 'Diogo Jota', 'Kostas Tsimikas']","['Edouard Mendy', 'Antonio Rüdiger', 'Marcos Alonso', 'Andreas Christensen', 'Jorginho', ""N'Golo Kanté"", 'Romelu Lukaku', 'Mason Mount', 'Reece James', 'César Azpilicueta', 'Kai Havertz']","['Kepa Arrizabalaga', 'Thiago Silva', 'Mateo Kovačić', 'Timo Werner', 'Ruben Loftus-Cheek', 'Trevoh Chalobah', 'Callum Hudson-Odoi', 'Ben Chilwell', 'Hakim Ziyech']",[45],[22],"[[43, 'Roberto Firmino', 'Diogo Jota'], [74, 'Jordan Henderson', 'Thiago Alcántara'], [86, 'Andrew Robertson', 'Kostas Tsimikas']]","[[46, ""N'Golo Kanté"", 'Mateo Kovačić'], [46, 'Kai Havertz', 'Thiago Silva'], [87, 'Jorginho', 'Trevoh Chalobah']]",[],"[[45, 'Reece James']]"
Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2021-2022,Burnley,Leeds United,1,1,"['Nick Pope', 'Matthew Lowton', 'Charlie Taylor', 'James Tarkowski', 'Ben Mee', 'Jóhann Berg Guðmundsson', 'Josh Brownhill', 'Chris Wood', 'Ashley Barnes', 'Dwight McNeil', 'Ashley Westwood']","['Wayne Hennessey', 'Jack Cork', 'Aaron Lennon', 'Jay Rodriguez', 'Nathan Collins', 'Erik Pieters', 'Phil Bardsley', 'Matěj Vydra', 'Bobby Thomas']","['Illan Meslier', 'Luke Ayling', 'Liam Cooper', 'Patrick Bamford', 'Raphinha', 'Diego Llorente', 'Stuart Dallas', 'Rodrigo', 'Pascal Struijk', 'Jack Harrison', 'Kalvin Phillips']","['Kristoffer Klaesson', 'Adam Forshaw', 'Tyler Roberts', 'Hélder Costa', 'Joe Gelhardt', 'Charlie Cresswell', 'Crysencio Summerville', 'Liam McCarron', 'Jamie Shackleton']",[61],[86],"[[63, 'Jóhann Berg Guðmundsson', 'Aaron Lennon'], [79, 'Ashley Barnes', 'Matěj Vydra']]","[[65, 'Diego Llorente', 'Jamie Shackleton'], [73, 'Rodrigo', 'Tyler Roberts']]",[],[]
2021-2022,Tottenham Hotspur,Watford,1,0,"['Hugo Lloris', 'Sergio Reguilón', 'Pierre Højbjerg', 'Davinson Sánchez', 'Son Heung-min', 'Harry Kane', 'Eric Dier', 'Dele Alli', 'Steven Bergwijn', 'Japhet Tanganga', 'Oliver Skipp']","['Pierluigi Gollini', 'Matt Doherty', 'Cristian Romero', 'Harry Winks', 'Bryan', 'Giovani Lo Celso', 'Ryan Sessegnon', 'Lucas Moura', 'Ben Davies']","['Daniel Bachmann', 'Oghenekaro Etebo', 'William Troost-Ekong', 'Joshua King', 'Adam Masina', 'Craig Cathcart', 'Moussa Sissoko', 'Ismaila Sarr', 'Emmanuel Dennis', 'Francisco Sierralta', 'Juraj Kucka']","['Rob Elliot', 'Jeremy Ngakia', 'Danny Rose', 'Imran Louza', 'Tom Cleverley', 'Ken Sema', 'Ashley Fletcher', 'Christian Kabasele', 'Cucho']",[42],[],"[[68, 'Steven Bergwijn', 'Lucas Moura'], [88, 'Son Heung-min', 'Bryan']]","[[51, 'Craig Cathcart', 'Jeremy Ngakia'], [65, 'Joshua King', 'Cucho'], [71, 'Moussa Sissoko', 'Tom Cleverley']]",[],[]
2021-2022,Wolverhampton Wanderers,Manchester United,0,1,"['José Sá', 'Fernando Marçal', 'Rúben Neves', 'Raúl Jiménez', 'Francisco Trincão', 'Conor Coady', 'Nélson Semedo', 'Max Kilman', 'Romain Saïss', 'João Moutinho', 'Adama Traoré']","['John Ruddy', 'Ki-Jana Hoever', 'Rayan Aït Nouri', 'Daniel Podence', 'Willy Boly', 'Fábio Silva', 'Morgan Gibbs-White', 'Leander Dendoncker', 'Luke Cundle']","['David de Gea', 'Harry Maguire', 'Paul Pogba', 'Mason Greenwood', 'Fred', 'Bruno Fernandes', 'Raphaël Varane', 'Daniel James', 'Luke Shaw', 'Jadon Sancho', 'Aaron Wan-Bissaka']","['Tom Heaton', 'Victor Lindelöf', 'Edinson Cavani', 'Juan Mata', 'Anthony Martial', 'Jesse Lingard', 'Diogo Dalot', 'Nemanja Matić', 'Donny van de Beek']",[],[80],"[[70, 'Francisco Trincão', 'Daniel Podence'], [87, 'Conor Coady', 'Morgan Gibbs-White'], [87, 'Adama Traoré', 'Fábio Silva']]","[[53, 'Daniel James', 'Edinson Cavani'], [72, 'Jadon Sancho', 'Anthony Martial'], [90, 'Mason Greenwood', 'Diogo Dalot']]",[],[]
2021-2022,Crystal Palace,Tottenham Hotspur,3,0,"['Vicente Guaita', 'Joel Ward', 'Tyrick Mitchell', 'Marc Guéhi', 'Cheikhou Kouyaté', 'Jordan Ayew', 'Wilfried Zaha', 'Joachim Andersen', 'James McArthur', 'Christian Benteke', 'Conor Gallagher']","['Jack Butland', 'Luka Milivojević', 'James Tomkins', 'Michael Olise', 'Will Hughes', 'Nathaniel Clyne', 'Odsonne Édouard', 'Martin Kelly', 'Jaïro Riedewald']","['Hugo Lloris', 'Sergio Reguilón', 'Pierre Højbjerg', 'Harry Winks', 'Harry Kane', 'Emerson', 'Eric Dier', 'Dele Alli', 'Japhet Tanganga', 'Lucas Moura', 'Oliver Skipp']","['Pierluigi Gollini', 'Matt Doherty', 'Bryan', 'Joe Rodon', 'Tanguy Ndombele', 'Ben Davies', 'Dane Scarlett', 'Tobi Omole', 'Dilan Markanday']","[76, 84, 90]",[],"[[67, 'Cheikhou Kouyaté', 'Luka Milivojević'], [84, 'Christian Benteke', 'Odsonne Édouard'], [86, 'Jordan Ayew', 'Michael Olise']]","[[12, 'Eric Dier', 'Joe Rodon'], [60, 'Harry Winks', 'Ben Davies']]",[],"[[58, 'Japhet Tanganga']]"
2021-2022,Watford,Wolverhampton Wanderers,0,2,"['Daniel Bachmann', 'Jeremy Ngakia', 'Danny Rose', 'Oghenekaro Etebo', 'William Troost-Ekong', 'Joshua King', 'Moussa Sissoko', 'Ismaila Sarr', 'Emmanuel Dennis', 'Francisco Sierralta', 'Juraj Kucka']","['Rob Elliot', 'Imran Louza', 'Tom Cleverley', 'Adam Masina', 'Ken Sema', 'Craig Cathcart', 'Ozan Tufan', 'Christian Kabasele', 'Cucho']","['José Sá', 'Fernando Marçal', 'Rúben Neves', 'Raúl Jiménez', 'Francisco Trincão', 'Conor Coady', 'Nélson Semedo', 'Max Kilman', 'Romain Saïss', 'João Moutinho', 'Adama Traoré']","['John Ruddy', 'Ki-Jana Hoever', 'Rayan Aït Nouri', 'Daniel Podence', 'Yerson Mosquera', 'Willy Boly', 'Fábio Silva', 'Hwang Hee-chan', 'Leander Dendoncker']",[],[83],"[[53, 'Joshua King', 'Cucho'], [77, 'Oghenekaro Etebo', 'Ken Sema']]","[[63, 'Francisco Trincão', 'Hwang Hee-chan'], [81, 'Adama Traoré', 'Daniel Podence']]",[],[]
Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2021-2022,Brentford,Brighton & Hove Albion,0,1,"['David Raya', 'Rico Henry', 'Ethan Pinnock', 'Christian Nørgaard', 'Sergi Canós', 'Ivan Toney', 'Pontus Jansson', 'Bryan Mbeumo', 'Kristoffer Ajer', 'Shandon Baptiste', 'Vitaly Janelt']","['Álvaro Fernández', 'Dominic Thompson', 'Mathias Jensen', 'Marcus Forss', 'Yoane Wissa', 'Saman Ghoddos', 'Frank Onyeka', 'Mathias Jørgensen', 'Mads Roerslev']","['Robert Sánchez', 'Marc Cucurella', 'Adam Webster', 'Lewis Dunk', 'Yves Bissouma', 'Neal Maupay', 'Leandro Trossard', 'Adam Lallana', 'Danny Welbeck', 'Shane Duffy', 'Joël Veltman']","['Kjell Scherpen', 'Jason Steele', 'Alexis Mac Allister', 'Jakub Moder', 'Steven Alzate', 'Solly March', 'Jürgen Locadia', 'Haydon Roberts', 'Taylor Richards']",[],[90],"[[61, 'Sergi Canós', 'Mads Roerslev'], [68, 'Vitaly Janelt', 'Mathias Jensen'], [75, 'Shandon Baptiste', 'Frank Onyeka']]","[[37, 'Adam Webster', 'Jakub Moder'], [64, 'Danny Welbeck', 'Alexis Mac Allister'], [82, 'Marc Cucurella', 'Solly March']]",[],[]
2021-2022,Arsenal,Norwich City,1,0,"['Aaron Ramsdale', 'Kieran Tierney', 'Ben White', 'Gabriel Dos Santos', 'Bukayo Saka', 'Martin Ødegaard', 'Pierre-Emerick Aubameyang', 'Ainsley Maitland-Niles', 'Takehiro Tomiyasu', 'Nicolas Pépé', 'Albert Sambi Lokonga']","['Bernd Leno', 'Thomas Partey', 'Alexandre Lacazette', 'Emile Smith Rowe', 'Cédric Soares', 'Nuno Tavares', 'Calum Chambers', 'Pablo Marí', 'Martinelli']","['Tim Krul', 'Max Aarons', 'Grant Hanley', 'Lukas Rupp', 'Kieran Dowell', 'Christos Tzolis', 'Pierre Lees-Melou', 'Brandon Williams', 'Teemu Pukki', 'Kenny McLean', 'Andrew Omobamidele']","['Angus Gunn', 'Ben Gibson', 'Billy Gilmour', 'Todd Cantwell', 'Ozan Kabak', 'Mathias Normann', 'Milot Rashica', 'Jakob Sørensen', 'Adam Idah']",[66],[],"[[62, 'Albert Sambi Lokonga', 'Thomas Partey'], [62, 'Takehiro Tomiyasu', 'Emile Smith Rowe'], [82, 'Ainsley Maitland-Niles', 'Cédric Soares']]","[[62, 'Kieran Dowell', 'Todd Cantwell'], [69, 'Christos Tzolis', 'Milot Rashica'], [80, 'Lukas Rupp', 'Adam Idah']]",[],[]
2021-2022,Manchester United,Newcastle United,4,1,"['David de Gea', 'Harry Maguire', 'Paul Pogba', 'Cristiano Ronaldo', 'Mason Greenwood', 'Bruno Fernandes', 'Raphaël Varane', 'Luke Shaw', 'Jadon Sancho', 'Aaron Wan-Bissaka', 'Nemanja Matić']","['Tom Heaton', 'Victor Lindelöf', 'Eric Bailly', 'Juan Mata', 'Anthony Martial', 'Jesse Lingard', 'Fred', 'Diogo Dalot', 'Donny van de Beek']","['Freddie Woodman', 'Ciaran Clark', 'Jamaal Lascelles', 'Joelinton', 'Allan Saint-Maximin', 'Matt Ritchie', 'Isaac Hayden', 'Javier Manquillo', 'Miguel Almirón', 'Joe Willock', 'Sean Longstaff']","['Karl Darlow', 'Fabian Schär', 'Jamal Lewis', 'Jeff Hendrick', 'Emil Krafth', 'Federico Fernández', 'Jacob Murphy', 'Dwight Gayle', 'Joe White']","[45, 62, 80, 90]",[56],"[[66, 'Jadon Sancho', 'Jesse Lingard'], [85, 'Bruno Fernandes', 'Anthony Martial'], [85, 'Mason Greenwood', 'Donny van de Beek']]","[[77, 'Javier Manquillo', 'Jacob Murphy'], [84, 'Ciaran Clark', 'Jamal Lewis'], [85, 'Joe Willock', 'Jeff Hendrick']]",[],[]
