,Season,Name,Age,Age_Squared,Min,Height,Position,Aerial_duels_per90,Assists_per90,Goals_per90,League,Squad
2,2019-2020,Ayoze Pérez,26,676,2004.0,179cm, FW-MF (AM-WM),1.0762331838565022,0.18,0.36,1. Premier League,Leicester City
3,2020-2021,Ayoze Pérez,27,729,1331.0,179cm, FW-MF (AM-WM),0.8108108108108107,0.07,0.14,1. Premier League,Leicester City
4,2021-2022,Ayoze Pérez,28,784,445.0,179cm, FW-MF (AM-WM),1.2244897959183672,0.61,0.4,1. Premier League,Leicester City
5,2022-2023,Ayoze Pérez,29,841,382.0,179cm, FW-MF (AM-WM),1.0241356816699283,0.24,0.0,1. Premier League,Leicester City
0,2018-2019,Andreas Pereira,22,484,599.0,177cm, MF (AM),0.44776119402985076,0.15,0.15,1. Premier League,Manchester Utd
1,2019-2020,Andreas Pereira,23,529,1484.0,177cm, MF (AM),0.6060606060606061,0.18,0.06,1. Premier League,Manchester Utd
2,2022-2023,Andreas Pereira,26,676,2483.0,177cm, MF (AM),0.2898550724637681,0.22,0.11,1. Premier League,Fulham
0,2017-2018,Roberto Firmino,25,625,2763.0,181cm, FW-MF (AM),1.498371335504886,0.23,0.49,1. Premier League,Liverpool
1,2018-2019,Roberto Firmino,26,676,2607.0,181cm, FW-MF (AM),1.0344827586206897,0.21,0.41,1. Premier League,Liverpool
2,2019-2020,Roberto Firmino,27,729,2988.0,181cm, FW-MF (AM),0.7831325301204819,0.24,0.27,1. Premier League,Liverpool
3,2020-2021,Roberto Firmino,28,784,2838.0,181cm, FW-MF (AM),0.6984126984126984,0.22,0.29,1. Premier League,Liverpool
4,2021-2022,Roberto Firmino,29,841,990.0,181cm, FW-MF (AM),1.2727272727272727,0.36,0.45,1. Premier League,Liverpool
5,2022-2023,Roberto Firmino,30,900,1138.0,181cm, FW-MF (AM),1.1111111111111112,0.32,0.71,1. Premier League,Liverpool
0,2017-2018,Cheikhou Kouyaté,27,729,2799.0,193cm, DF-MF (CB-CM-DM),3.8263665594855305,0.1,0.06,1. Premier League,West Ham
1,2018-2019,Cheikhou Kouyaté,28,784,1899.0,193cm, DF-MF (CB-CM-DM),2.9383886255924168,0.09,0.0,1. Premier League,Crystal Palace
2,2019-2020,Cheikhou Kouyaté,29,841,2528.0,193cm, DF-MF (CB-CM-DM),3.167259786476868,0.04,0.04,1. Premier League,Crystal Palace
3,2020-2021,Cheikhou Kouyaté,30,900,3121.0,193cm, DF-MF (CB-CM-DM),2.3631123919308354,0.0,0.03,1. Premier League,Crystal Palace
4,2021-2022,Cheikhou Kouyaté,31,961,1974.0,193cm, DF-MF (CB-CM-DM),2.2831050228310503,0.05,0.0,1. Premier League,Crystal Palace
5,2022-2023,Cheikhou Kouyaté,32,1024,767.0,193cm, DF-MF (CB-CM-DM),2.0,0.0,0.12,1. Premier League,Nott'ham Forest
